STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,DOMAIN,Domain,TIME_PERIOD,Time period,OBS_VALUE,Observation value,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,UNIT_MEASURE,Unit of measure,BASE_PER,Base period,DECIMALS,Decimals,POP_GROUP,Population group
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CRI,Costa Rica,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2020,,17.3,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CZE,Czechia,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2019,,1.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CZE,Czechia,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2018,,1.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CZE,Czechia,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2017,,0.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CZE,Czechia,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2020,,75.1,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CZE,Czechia,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2019,,62.3,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CZE,Czechia,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2018,,63.3,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CZE,Czechia,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2017,,110.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,CZE,Czechia,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2021,,1.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DNK,Denmark,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2018,,2.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DNK,Denmark,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2017,,2.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DNK,Denmark,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2021,,50.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DNK,Denmark,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2020,,50.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DNK,Denmark,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2019,,50.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DNK,Denmark,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2018,,50.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DNK,Denmark,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2017,,50.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DNK,Denmark,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2021,,2.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DNK,Denmark,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2020,,2.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,EST,Estonia,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2017,,2.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,EST,Estonia,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2021,,4.3,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,KOR,Korea,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2020,,54.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,LVA,Latvia,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2018,,1.4,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,AUT,Austria,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2017,,60.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DEU,Germany,C1_5,Total length of paid paternity and parental leave reserved for fathers,C1,Family policies,2017,,8.7,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
DATAFLOW,OECD.WISE.CWB:DSD_CWB@DF_CWB(1.0),Child well-being,I,DEU,Germany,C1_4,Total length of paid maternity and parental leave available to mothers,C1,Family policies,2021,,58.0,,A,Normal value,0,Units,WK,Weeks,,,1,One,_Z,Not applicable
