country,educational_attainment_level,per cent,fertility_rate
India,Below upper secondary education,75.22858429,1.962
India,Tertiary education,14.24630547,1.962
Lithuania,Tertiary education,47.69621658,1.11
Lithuania,Below upper secondary education,7.046563148,1.11
Lithuania,Upper secondary or post-secondary non-tertiary education,45.25722122,1.11
Indonesia,Below upper secondary education,57.26337814,2.115
Indonesia,Tertiary education,13.05759525,2.115
Indonesia,Upper secondary or post-secondary non-tertiary education,29.67902946,2.115
Poland,Below upper secondary education,5.191302776,1.14
Poland,Tertiary education,39.45318604,1.14
Poland,Upper secondary or post-secondary non-tertiary education,55.35551071,1.14
France,Tertiary education,43.35744095,1.61
France,Below upper secondary education,16.05910683,1.61
France,Upper secondary or post-secondary non-tertiary education,40.58345032,1.61
Ireland,Below upper secondary education,10.73013783,1.47
Ireland,Tertiary education,57.54948807,1.47
Ireland,Upper secondary or post-secondary non-tertiary education,31.72037506,1.47
Japan,Tertiary education,57.01610184,1.15
Mexico,Tertiary education,21.87430954,1.892
Mexico,Below upper secondary education,54.43732452,1.892
Mexico,Upper secondary or post-secondary non-tertiary education,23.68836594,1.892
Colombia,Below upper secondary education,32.65184784,1.634
Colombia,Upper secondary or post-secondary non-tertiary education,36.7878418,1.634
Colombia,Tertiary education,30.56031036,1.634
Denmark,Upper secondary or post-secondary non-tertiary education,38.74941254,1.47
Denmark,Tertiary education,45.05239105,1.47
Denmark,Below upper secondary education,16.19819641,1.47
Croatia,Below upper secondary education,9.675270081,1.46
Croatia,Upper secondary or post-secondary non-tertiary education,59.89646912,1.46
Croatia,Tertiary education,30.42826271,1.46
Australia,Tertiary education,53.09037018,1.481
Australia,Upper secondary or post-secondary non-tertiary education,33.90245438,1.481
Australia,Below upper secondary education,13.00717735,1.481
Norway,Tertiary education,50.44035339,1.45
Norway,Below upper secondary education,17.09367561,1.45
Norway,Upper secondary or post-secondary non-tertiary education,32.4659729,1.45
United Kingdom,Upper secondary or post-secondary non-tertiary education,29.0436039,1.551
United Kingdom,Tertiary education,53.8429718,1.551
United Kingdom,Below upper secondary education,17.11342239,1.551
Czechia,Upper secondary or post-secondary non-tertiary education,66.78089142,1.36
Czechia,Below upper secondary education,5.725558281,1.36
Czechia,Tertiary education,27.49355125,1.36
Portugal,Tertiary education,31.4044838,1.41
Portugal,Upper secondary or post-secondary non-tertiary education,30.11633301,1.41
Portugal,Below upper secondary education,38.4791832,1.41
Brazil,Below upper secondary education,39.88211441,1.614
Brazil,Tertiary education,21.53577805,1.614
Brazil,Upper secondary or post-secondary non-tertiary education,38.58210754,1.614
Netherlands,Tertiary education,45.09827805,1.43
Netherlands,Below upper secondary education,18.32732391,1.43
Netherlands,Upper secondary or post-secondary non-tertiary education,36.57439804,1.43
Spain,Tertiary education,42.25973892,1.1
Spain,Upper secondary or post-secondary non-tertiary education,23.02160835,1.1
Spain,Below upper secondary education,34.71865082,1.1
Italy,Upper secondary or post-secondary non-tertiary education,44.39754105,1.18
Italy,Tertiary education,22.31502724,1.18
Italy,Below upper secondary education,33.28743362,1.18
