country,year,gdp_growth
ZMB,2028,5.1
ZMB,2029,5.3
ZMB,2030,5.3
ZMB,2031,5.3
MMR,1999,8.4
MMR,2000,12.4
MMR,2001,12.5
MMR,2002,9.9
MMR,2003,13.2
MMR,2004,15.3
MMR,2005,13.6
MMR,2006,13.3
MMR,2007,12.5
MMR,2008,7.6
MMR,2009,4.4
MMR,2010,5.2
MMR,2011,5.5
MMR,2012,6.5
MMR,2013,7.9
MMR,2014,8.2
MMR,2015,5.9
MMR,2016,6.8
MMR,2017,6.1
MMR,2018,6.3
MMR,2019,6.6
MMR,2020,-9.0
MMR,2021,-12.0
MMR,2022,4.0
MMR,2023,1.0
MMR,2024,-1.0
MMR,2025,-2.0
MMR,2026,3.0
MMR,2027,3.0
MMR,2028,2.5
MMR,2029,2.2
MMR,2030,1.8
MMR,2031,1.8
BGD,1981,3.8
BGD,1982,2.4
BGD,1983,4.0
BGD,1984,5.2
BGD,1985,3.2
BGD,1986,4.2
BGD,1987,3.7
BGD,1988,2.2
BGD,1989,2.6
BGD,1990,5.9
BGD,1991,3.3
BGD,1992,5.0
BGD,1993,4.6
BGD,1994,4.1
BGD,1995,4.9
BGD,1996,4.6
BGD,1997,4.5
BGD,1998,5.2
BGD,1999,4.7
BGD,2000,5.3
BGD,2001,5.1
BGD,2002,3.8
BGD,2003,4.7
BGD,2004,5.2
BGD,2005,6.5
BGD,2006,6.7
BGD,2007,7.1
BGD,2008,6.0
BGD,2009,5.0
BGD,2010,5.6
BGD,2011,6.5
BGD,2012,6.5
BGD,2013,6.0
BGD,2014,6.1
BGD,2015,6.6
BGD,2016,7.1
BGD,2017,6.6
BGD,2018,7.3
BGD,2019,7.9
BGD,2020,3.4
BGD,2021,6.9
BGD,2022,7.1
BGD,2023,5.8
BGD,2024,4.2
BGD,2025,3.5
BGD,2026,4.7
BGD,2027,4.3
BGD,2028,4.5
BGD,2029,5.7
BGD,2030,5.8
BGD,2031,6.1
NGA,1991,-0.6
NGA,1992,2.2
NGA,1993,1.6
NGA,1994,0.3
NGA,1995,1.9
NGA,1996,4.1
NGA,1997,2.9
NGA,1998,2.5
NGA,1999,0.5
NGA,2000,5.5
NGA,2001,6.7
NGA,2002,14.6
NGA,2003,9.5
NGA,2004,10.4
NGA,2005,7.0
NGA,2006,6.7
NGA,2007,7.3
NGA,2008,7.2
NGA,2009,8.4
NGA,2010,11.3
NGA,2011,4.9
NGA,2012,4.3
NGA,2013,5.4
NGA,2014,6.3
NGA,2015,2.7
NGA,2016,-1.6
NGA,2017,0.8
NGA,2018,1.9
NGA,2019,2.2
NGA,2020,-6.4
NGA,2021,1.1
NGA,2022,4.3
NGA,2023,3.3
NGA,2024,4.1
NGA,2025,4.0
NGA,2026,4.1
NGA,2027,4.3
NGA,2028,4.1
NGA,2029,4.2
NGA,2030,4.2
NGA,2031,4.2
MNG,1980,6.4
MNG,1981,8.4
MNG,1982,8.3
MNG,1983,5.8
MNG,1984,5.9
MNG,1985,5.7
MNG,1986,9.4
MNG,1987,3.5
MNG,1988,5.1
MNG,1989,4.2
MNG,1990,-2.5
MNG,1991,-9.2
MNG,1992,-9.3
MNG,1993,-3.2
MNG,1994,2.1
MNG,1995,6.4
MNG,1996,2.2
MNG,1997,3.9
MNG,1998,3.3
MNG,1999,3.1
MNG,2000,1.1
MNG,2001,4.6
MNG,2002,5.3
MNG,2003,7.4
MNG,2004,9.4
MNG,2005,6.5
MNG,2006,8.2
MNG,2007,8.8
MNG,2008,7.8
MNG,2009,-2.1
MNG,2010,7.3
MNG,2011,17.3
MNG,2012,12.3
MNG,2013,11.6
MNG,2014,7.9
MNG,2015,2.4
MNG,2016,1.5
MNG,2017,5.6
MNG,2018,7.7
MNG,2019,5.6
MNG,2020,-4.6
MNG,2021,1.6
MNG,2022,5.0
MNG,2023,7.4
MNG,2024,5.1
MNG,2025,6.8
MNG,2026,5.3
MNG,2027,5.3
MNG,2028,5.2
MNG,2029,5.0
MNG,2030,5.0
MNG,2031,5.0
CHN,1980,7.9
CHN,1981,5.1
CHN,1982,9.0
CHN,1983,10.8
CHN,1984,15.2
CHN,1985,13.5
CHN,1986,8.9
CHN,1987,11.7
CHN,1988,11.2
CHN,1989,4.2
CHN,1990,3.9
CHN,1991,10.2
CHN,1992,14.3
CHN,1993,13.9
CHN,1994,13.1
CHN,1995,11.0
CHN,1996,10.0
CHN,1997,9.3
CHN,1998,7.9
CHN,1999,7.8
CHN,2000,8.6
CHN,2001,8.3
CHN,2002,9.2
CHN,2003,10.1
CHN,2004,10.1
CHN,2005,11.4
CHN,2006,12.7
CHN,2007,14.2
CHN,2008,9.6
CHN,2009,9.4
CHN,2010,10.6
CHN,2011,9.5
CHN,2012,7.8
CHN,2013,7.8
CHN,2014,7.5
CHN,2015,7.0
CHN,2016,6.8
CHN,2017,6.9
CHN,2018,6.8
CHN,2019,6.1
CHN,2020,2.3
CHN,2021,8.6
CHN,2022,3.1
CHN,2023,5.4
CHN,2024,5.0
CHN,2025,5.0
CHN,2026,4.4
CHN,2027,4.0
CHN,2028,4.0
CHN,2029,3.7
CHN,2030,3.3
CHN,2031,3.3
