ref_area.label,sex.label,classif1.label,time,obs_value
Australia,Male,"Occupation (ISCO-08), 2 digit level: 44 - Other clerical support workers",2024,31.066
Australia,Male,"Occupation (ISCO-08), 2 digit level: 51 - Personal service workers",2024,170.698
Australia,Male,"Occupation (ISCO-08), 2 digit level: 52 - Sales workers",2024,330.268
Australia,Male,"Occupation (ISCO-08), 2 digit level: 53 - Personal care workers",2024,139.542
Australia,Male,"Occupation (ISCO-08), 2 digit level: 54 - Protective services workers",2024,140.15
Australia,Male,"Occupation (ISCO-08), 2 digit level: 61 - Market-oriented skilled agricultural workers",2024,215.024
Australia,Male,"Occupation (ISCO-08), 2 digit level: 62 - Market-oriented skilled forestry, fishery and hunting workers",2024,5.79
Australia,Male,"Occupation (ISCO-08), 2 digit level: 71 - Building and related trades workers, excluding electricians",2024,536.708
Australia,Male,"Occupation (ISCO-08), 2 digit level: 72 - Metal, machinery and related trades workers",2024,360.81
Australia,Male,"Occupation (ISCO-08), 2 digit level: 73 - Handicraft and printing workers",2024,23.712
Australia,Male,"Occupation (ISCO-08), 2 digit level: 74 - Electrical and electronic trades workers",2024,262.582
Australia,Male,"Occupation (ISCO-08), 2 digit level: 75 - Food processing, wood working, garment and other craft and related trades workers",2024,118.079
Australia,Male,"Occupation (ISCO-08), 2 digit level: 81 - Stationary plant and machine operators",2024,164.975
Australia,Male,"Occupation (ISCO-08), 2 digit level: 82 - Assemblers",2024,15.901
Australia,Male,"Occupation (ISCO-08), 2 digit level: 83 - Drivers and mobile plant operators",2024,545.728
Australia,Male,"Occupation (ISCO-08), 2 digit level: 91 - Cleaners and helpers",2024,106.466
Australia,Male,"Occupation (ISCO-08), 2 digit level: 92 - Agricultural, forestry and fishery labourers",2024,73.707
Australia,Male,"Occupation (ISCO-08), 2 digit level: 93 - Labourers in mining, construction, manufacturing and transport",2024,324.913
Australia,Male,"Occupation (ISCO-08), 2 digit level: 94 - Food preparation assistants",2024,103.166
Australia,Male,"Occupation (ISCO-08), 2 digit level: 96 - Refuse workers and other elementary workers",2024,93.607
Australia,Female,"Occupation (ISCO-08), 2 digit level: 01 - Commissioned armed forces officers",2024,0.345
Australia,Female,"Occupation (ISCO-08), 2 digit level: 02 - Non-commissioned armed forces officers",2024,0.019
Australia,Female,"Occupation (ISCO-08), 2 digit level: 03 - Armed forces occupations, other ranks",2024,0.681
Australia,Female,"Occupation (ISCO-08), 2 digit level: 11 - Chief executives, senior officials and legislators",2024,44.557
Australia,Female,"Occupation (ISCO-08), 2 digit level: 12 - Administrative and commercial managers",2024,223.423
Australia,Female,"Occupation (ISCO-08), 2 digit level: 13 - Production and specialised services managers",2024,199.219
Australia,Female,"Occupation (ISCO-08), 2 digit level: 14 - Hospitality, retail and other services managers",2024,222.095
Australia,Female,"Occupation (ISCO-08), 2 digit level: 21 - Science and engineering professionals",2024,126.225
Australia,Female,"Occupation (ISCO-08), 2 digit level: 22 - Health professionals",2024,580.412
Australia,Female,"Occupation (ISCO-08), 2 digit level: 23 - Teaching professionals",2024,493.865
Australia,Female,"Occupation (ISCO-08), 2 digit level: 24 - Business and administration professionals",2024,395.97
Australia,Female,"Occupation (ISCO-08), 2 digit level: 25 - Information and communications technology professionals",2024,85.735
Australia,Female,"Occupation (ISCO-08), 2 digit level: 26 - Legal, social and cultural professionals",2024,274.948
Australia,Female,"Occupation (ISCO-08), 2 digit level: 31 - Science and engineering associate professionals",2024,37.769
Australia,Female,"Occupation (ISCO-08), 2 digit level: 32 - Health associate professionals",2024,188.634
Australia,Female,"Occupation (ISCO-08), 2 digit level: 33 - Business and administration associate professionals",2024,566.327
Australia,Female,"Occupation (ISCO-08), 2 digit level: 34 - Legal, social, cultural and related associate professionals",2024,232.478
Australia,Female,"Occupation (ISCO-08), 2 digit level: 35 - Information and communications technicians",2024,18.401
Australia,Female,"Occupation (ISCO-08), 2 digit level: 41 - General and keyboard clerks",2024,288.524
Australia,Female,"Occupation (ISCO-08), 2 digit level: 42 - Customer services clerks",2024,238.831
Australia,Female,"Occupation (ISCO-08), 2 digit level: 43 - Numerical and material recording clerks",2024,352.707
Australia,Female,"Occupation (ISCO-08), 2 digit level: 44 - Other clerical support workers",2024,50.323
Australia,Female,"Occupation (ISCO-08), 2 digit level: 51 - Personal service workers",2024,384.161
Australia,Female,"Occupation (ISCO-08), 2 digit level: 52 - Sales workers",2024,556.499
Australia,Female,"Occupation (ISCO-08), 2 digit level: 53 - Personal care workers",2024,621.951
Australia,Female,"Occupation (ISCO-08), 2 digit level: 54 - Protective services workers",2024,47.423
Australia,Female,"Occupation (ISCO-08), 2 digit level: 61 - Market-oriented skilled agricultural workers",2024,59.619
Australia,Female,"Occupation (ISCO-08), 2 digit level: 62 - Market-oriented skilled forestry, fishery and hunting workers",2024,0.441
Australia,Female,"Occupation (ISCO-08), 2 digit level: 71 - Building and related trades workers, excluding electricians",2024,15.248
Australia,Female,"Occupation (ISCO-08), 2 digit level: 72 - Metal, machinery and related trades workers",2024,12.965
Australia,Female,"Occupation (ISCO-08), 2 digit level: 73 - Handicraft and printing workers",2024,10.28
Australia,Female,"Occupation (ISCO-08), 2 digit level: 74 - Electrical and electronic trades workers",2024,10.941
Australia,Female,"Occupation (ISCO-08), 2 digit level: 75 - Food processing, wood working, garment and other craft and related trades workers",2024,44.096
