"Area","Year","Total","Male","Female"
"Asia and the Pacific: Low income","2027",43.678,22.785,65.581
"Asia and the Pacific: Lower-middle income","2027",23.749,11.077,37.354
"Asia and the Pacific: Upper-middle income","2027",14.256,12.036,16.772
"Asia and the Pacific: High income","2027",6.487,6.591,6.377
"Eastern Asia","2027",10.845,10.098,11.708
"Eastern Asia: Upper-middle income","2027",11.468,10.625,12.456
"Eastern Asia: High income","2027",5.771,5.826,5.712
"South-Eastern Asia and the Pacific","2027",16.492,13.13,20.001
"South-Eastern Asia and the Pacific: Lower-middle income","2027",13.884,11.103,16.748
"South-Eastern Asia and the Pacific: Upper-middle income","2027",19.333,15.155,23.738
"South-Eastern Asia and the Pacific: High income","2027",9.288,9.569,8.988
"South-Eastern Asia","2027",16.522,13.019,20.175
"Pacific Islands","2027",15.984,14.979,17.054
"Southern Asia","2027",26.069,11.691,41.579
"Southern Asia: Lower-middle income","2027",25.253,11.073,40.575
"Southern Asia: Upper-middle income","2027",26.236,16.421,36.571
"Europe and Central Asia","2027",13.289,11.451,15.214
"Europe and Central Asia: Lower-middle income","2027",20.414,12.92,28.173
"Europe and Central Asia: Upper-middle income","2027",17.887,13.41,22.574
"Europe and Central Asia: High income","2027",10.915,10.618,11.226
"Northern, Southern and Western Europe","2027",10.605,11.178,10.003
"Northern, Southern and Western Europe: Upper-middle income","2027",16.713,16.942,16.473
"Northern, Southern and Western Europe: High income","2027",10.41,10.995,9.796
"Northern Europe","2027",11.695,12.519,10.831
"Southern Europe","2027",11.445,11.823,11.046
"Western Europe","2027",9.354,9.91,8.77
"Eastern Europe","2027",12.313,10.154,14.569
"Eastern Europe: Upper-middle income","2027",15.492,12.467,18.641
"Eastern Europe: High income","2027",11.61,9.643,13.666
"Central Asia","2027",17.08,11.385,22.999
"Central and Western Asia: Lower-middle income","2027",20.414,12.92,28.173
"Central and Western Asia: Upper-middle income","2027",18.709,13.402,24.278
"Central and Western Asia: High income","2027",14.976,14.533,15.44
"Central and Western Asia","2027",18.999,13.325,24.928
"Western Asia","2027",20.53,14.865,26.474
"European Union 28","2027",10.641,10.94,10.327
"G20","2027",19.283,12.966,26.054
"ASEAN","2027",16.488,12.977,20.149
"BRICS","2027",19.802,11.822,28.608
"World excluding BRICS","2027",20.545,14.391,26.907
"G7","2027",10.718,10.728,10.707
"MENA","2027",30.576,18.866,43.014
"Arab League","2027",31.84,20.127,44.264
"CARICOM","2027",21.816,16.325,27.388
"European Union 27","2027",9.997,10.156,9.829
"Arab States: Low income","2027",41.085,25.236,57.594
"APEC","2027",13.082,11.192,15.156
"World excluding India and China","2027",20.632,14.537,26.95
"World: Lower-middle income excluding India","2027",21.418,13.492,29.572
"World: Upper-middle income excluding China","2027",21.334,15.43,27.488
"Yemen","2014",44.77,22.057,69.69
"South Africa","2024",34.61,33.618,35.606
"Zambia","2024",26.694,22.013,31.37
"Zimbabwe","2024",35.994,28.689,42.968
