e,c,C,F,a,d,y,f,p,s,r,t,u
2455,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2024-09-16,2024.0,3000.0,Vodafone România SA,"Media, Telecoms and Broadcasting","Art. 12 (3) GDPR, Art. 15 GDPR,  Art. 17 GDPR",Insufficient fulfilment of data subjects rights,https://www.dataprotection.ro/?page=Comunicat_Presa_16_09_2024&lang=ro
2456,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2024-09-17,2024.0,3000.0,Constanța South Container Terminal SRL,Transportation and Energy,"Art. 32 (1) b) GDPR, Art. 32 (2) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.dataprotection.ro/?page=Comunicat_Presa_17.09.2024&lang=ro
2457,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2024-08-20,2024.0,940000.0,mBank,"Finance, Insurance and Consulting","Art. 34 (1), (2) GDPR",Insufficient fulfilment of data breach notification obligations,https://uodo.gov.pl/pl/138/3343
2458,NORWAY,Norway,/flags/flag_norway.png,Norwegian Supervisory Authority (Datatilsynet),2024-09-04,2024.0,12700.0,University of Agder,Public Sector and Education,"Art. 32 GDPR, Art. 24 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2024/overtredelsesgebyr-til-universitetet-i-agder/
2459,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-08-22,2024.0,50000.0,"SANTANDER CONSUMER FINANCE, S.A.","Finance, Insurance and Consulting",Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/documento/ps-00380-2023.pdf
2460,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-08-06,2024.0,10000.0,"LOCAL VERTICALS, S.L.",Not assigned,Art. 13 GDPR,Insufficient fulfilment of information obligations,https://www.aepd.es/documento/ps-00546-2023.pdf
2461,IRELAND,Ireland,/flags/flag_ireland.png,Data Protection Authority of Ireland,2024-09-27,2024.0,91000000.0,Meta Platforms Ireland Limited,"Media, Telecoms and Broadcasting","Art. 5 (1) f) GDPR, Art. 32 (1) GDPR, Art. 33 (1), (5) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.dataprotection.ie/en/news-media/press-releases/DPC-announces-91-million-fine-of-Meta
2462,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-07-05,2024.0,10000.0,Clinic owner,Health Care,"Art. 6 (1) GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,https://www.aepd.es/documento/ps-00130-2024.pdf
2463,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2024-09-26,2024.0,4000.0,CI & DI Food s.r.l.,Employment,"Art. 12 GDPR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/10066287
2464,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2024-07-11,2024.0,600.0,ASSOCIACIO CANNABICA DEL MARESME ACANNAM,Individuals and Private Associations,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,https://www.aepd.es/documento/ps-00081-2023.pdf
