e,c,C,F,a,d,y,f,p,s,r,t,u
945,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-07,2021.0,24000.0,"NBQ Technology, S.A.U.","Finance, Insurance and Consulting",Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00487-2021.pdf
946,THE NETHERLANDS,The Netherlands,/flags/flag_the%20netherlands.png,Dutch Supervisory Authority for Data Protection (AP),2021-11-25,2021.0,2750000.0,Dutch Minister of Finance,Public Sector and Education,"Art. 5 (1) a) GDPR, Art. 6 (1) e) GDPR, Art. 8 Wbp",Insufficient legal basis for data processing,https://autoriteitpersoonsgegevens.nl/nl/nieuws/boete-belastingdienst-voor-discriminerende-en-onrechtmatige-werkwijze
947,BELGIUM,Belgium,/flags/flag_belgium.png,Belgian Data Protection Authority (APD),2021-12-08,2021.0,10000.0,Unknown,Not assigned,"Art. 12 (3) GDPR, Art. 14 (1), (2), (3) GDPR, Art. 15 GDPR, Art. 17 (1) c) GDPR, Art. 21 (2) GDPR",Insufficient fulfilment of data subjects rights,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-137-2021.pdf
948,NORWAY,Norway,/flags/flag_norway.png,Norwegian Supervisory Authority (Datatilsynet),2021-11-24,2021.0,98000.0,Norwegian State Pension Fund (SPK),Public Sector and Education,"Art. 5 (1) c), e) GDPR, Art. 6 (1) GDPR, Art. 9 (2) GDPR",Insufficient legal basis for data processing,https://www.datatilsynet.no/aktuelt/aktuelle-nyheter-2021/vedtak-om-overtredelsesgebyr-til-statens-pensjonskasse/
949,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2021-12-13,2021.0,2000.0,SC Nobiotic Pharma SRL,Industry and Commerce,Art. 58 (1) GDPR,Insufficient cooperation with supervisory authority,https://www.dataprotection.ro/?page=Comunicat_Presa_13_12_2021&lang=ro
950,NORWAY,Norway,/flags/flag_norway.png,Norwegian Supervisory Authority (Datatilsynet),2021-12-13,2021.0,6300000.0,Grindr LLC,"Media, Telecoms and Broadcasting","Art. 6 (1) GDPR, Art. 9 (1) GDPR",Insufficient legal basis for data processing,https://www.datatilsynet.no/contentassets/8ad827efefcb489ab1c7ba129609edb5/administrative-fine---grindr-llc.pdf
951,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2021-02-12,2021.0,3000.0,Unknown,Not assigned,Art. 31 GDPR,Insufficient cooperation with supervisory authority,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20210212_2020_0_582_166_00/DSBT_20210212_2020_0_582_166_00.html
952,FINLAND,Finland,/flags/flag_finland.png,Deputy Data Protection Ombudsman,2021-12-07,2021.0,608000.0,Psykoterapiakeskus Vastaamo,Health Care,"Art. 5 (1) f) GDPR, Art. 33 (1) GDPR, Art. 34 (1) GDPR",Non-compliance with general data processing principles,https://finlex.fi/fi/viranomaiset/tsv/2021/20211183
953,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-16,2021.0,1200.0,Private individual,Individuals and Private Associations,Art. 13 GDPR,Insufficient fulfilment of information obligations,https://www.aepd.es/es/documento/ps-00294-2021.pdf
954,DENMARK,Denmark,/flags/flag_denmark.png,Danish Data Protection Authority (Datatilsynet),2021-12-16,2021.0,13450.0,Municipality of Frederiksberg,Public Sector and Education,Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.datatilsynet.dk/presse-og-nyheder/nyhedsarkiv/2021/dec/frederiksberg-kommune-indstilles-til-boede
955,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2021-10-27,2021.0,13500.0,Car importer,Industry and Commerce,"Art. 5 (1), (2) GDPR, Art. 6 (1) GDPR, Art. 12 (1) GDPR, Art. 13 GDPR",Insufficient legal basis for data processing,https://naih.hu//hatarozatok-vegzesek?download=469:jogos-erdekre-alapitott-ugyfelelegedettseg-meres-adatvedelmi-megfelelesenek-ertekelese
956,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-14,2021.0,50000.0,"IZA OBRAS Y PROMOCIONES, S.A.",Employment,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,https://www.aepd.es/es/documento/ps-00324-2021.pdf
957,GREECE,Greece,/flags/flag_greece.png,Hellenic Data Protection Authority (HDPA),2021-12-08,2021.0,30000.0,One Way Private Company,"Media, Telecoms and Broadcasting","Art. 28 (3) c) GDPR, Art. 32 (2), (4) GDPR, Art. 11 (1) Νόμος 3471/2006",Insufficient technical and organisational measures to ensure information security,https://www.dpa.gr/sites/default/files/2021-12/52_2021anonym.pdf
958,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-17,2021.0,2000.0,Private individual,Individuals and Private Associations,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,https://www.aepd.es/es/documento/ps-00350-2021.pdf
959,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-17,2021.0,2000.0,Online retailer,Industry and Commerce,Art. 6 GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00300-2021.pdf
960,NORWAY,Norway,/flags/flag_norway.png,Norwegian Supervisory Authority (Datatilsynet),2021-12-17,2021.0,3900.0,T. Stene Transport AS,Transportation and Energy,Unknown,Unknown,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2021/gebyr-og-palegg-om-a-etablere-rutiner-etter-urettmessig-kredittvurdering/
961,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2021-08-05,2021.0,600.0,Private individual,Individuals and Private Associations,Art. 9 GDPR,Insufficient legal basis for data processing,https://www.ris.bka.gv.at/Dokumente/Dsk/DSBT_20210805_2021_0_518_795_00/DSBT_20210805_2021_0_518_795_00.html
962,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-21,2021.0,2000.0,FUNDACION ESPANOLA DE MEDICINA ESTETICA Y LONGEVIDAD,Individuals and Private Associations,"Art. 7 GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,https://www.aepd.es/es/documento/ps-00416-2021.pdf
963,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-17,2021.0,4000.0,CLUB DEPORTIVO RITMO DE ANDALUCÍA,Individuals and Private Associations,"Art. 7 GDPR, Art. 13 GDPR",Insufficient fulfilment of information obligations,https://www.aepd.es/es/documento/ps-00468-2021.pdf
964,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-23,2021.0,1500.0,LA OFICINA BAR,Accomodation and Hospitality,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,https://www.aepd.es/es/documento/ps-00389-2021.pdf
965,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-21,2021.0,6000.0,Private individual,Individuals and Private Associations,Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00204-2021.pdf
966,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-22,2021.0,5000.0,Sfam España General s.l.,"Finance, Insurance and Consulting",Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00536-2021.pdf
967,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-22,2021.0,5000.0,HUBSIDE IBÉRICA S.L.,Industry and Commerce,Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00537-2021.pdf
968,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-16,2021.0,60000.0,Banco Bilbao Vizcaya Argentaria S.A.,"Finance, Insurance and Consulting",Art. 6 GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00427-2021.pdf
969,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-28,2021.0,2000.0,"VENTANAS MAKE YOURSELF, S.L.",Industry and Commerce,Art. 13 GDPR,Insufficient fulfilment of information obligations,https://www.aepd.es/es/documento/ps-00404-2021.pdf
970,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-28,2021.0,6000.0,REAL CLUB NÁUTICO DE RIBADEO,Individuals and Private Associations,Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00493-2020.pdf
971,FRANCE,France,/flags/flag_france.png,French Data Protection Authority (CNIL),2021-12-28,2021.0,180000.0,SLIMPAY,"Finance, Insurance and Consulting","Art. 28 GDPR, Art. 32 GDPR, Art. 34 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.cnil.fr/fr/node/121960
972,FRANCE,France,/flags/flag_france.png,French Data Protection Authority (CNIL),2021-12-28,2021.0,300000.0,FREE MOBILE,"Media, Telecoms and Broadcasting","Art. 12 GDPR, Art. 15 GDPR, Art. 21 GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient fulfilment of data subjects rights,https://www.cnil.fr/fr/node/121974
973,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2021-12-28,2021.0,2000.0,Call shop manager,Industry and Commerce,Art. 13 GDPR,Insufficient fulfilment of information obligations,https://www.aepd.es/es/documento/ps-00390-2021.pdf
974,NORWAY,Norway,/flags/flag_norway.png,Norwegian Supervisory Authority (Datatilsynet),2021-12-13,2021.0,20000.0,Elektro & Automasjon Systemer AS,Industry and Commerce,Art. 6 (1) f) GDPR,Insufficient legal basis for data processing,https://www.datatilsynet.no/regelverk-og-verktoy/lover-og-regler/avgjorelser-fra-datatilsynet/2022/gebyr-til-elektro--automasjon-systemer-as/
975,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2021-12-02,2021.0,30000.0,Ica s.r.l.,Industry and Commerce,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9733053
976,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2021-11-11,2021.0,150000.0,TIM S.p.A.,"Media, Telecoms and Broadcasting",Art. 15 GDPR,Insufficient fulfilment of data subjects rights,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9722894
977,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2021-12-06,2021.0,6000.0,Telekom Romania Communications SA,"Media, Telecoms and Broadcasting","Art. 5 (1) d), f) GDPR, Art. 5 (2) GDPR, Art. 17 GDPR",Non-compliance with general data processing principles,https://www.dataprotection.ro/?page=Comunicat_Presa_06_12_2021_2&lang=ro
978,FRANCE,France,/flags/flag_france.png,French Data Protection Authority (CNIL),2021-12-31,2021.0,90000000.0,Google LLC,"Media, Telecoms and Broadcasting",Art. 82 loi Informatique et Libertés,Insufficient legal basis for data processing,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000044840532
979,FRANCE,France,/flags/flag_france.png,French Data Protection Authority (CNIL),2021-12-31,2021.0,60000000.0,Google Ireland Ltd.,"Media, Telecoms and Broadcasting",Art. 82 loi Informatique et Libertés,Insufficient legal basis for data processing,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000044840532
980,FRANCE,France,/flags/flag_france.png,French Data Protection Authority (CNIL),2021-12-31,2021.0,60000000.0,Facebook Ireland Ltd.,"Media, Telecoms and Broadcasting",Art. 82 loi Informatique et Libertés,Insufficient legal basis for data processing,https://www.legifrance.gouv.fr/cnil/id/CNILTEXT000044840532
981,GREECE,Greece,/flags/flag_greece.png,Hellenic Data Protection Authority (HDPA),2022-01-05,2022.0,1000.0,Εγνατία Οδός Α.Ε.,Industry and Commerce,Art. 12 (3) GDPR,Insufficient fulfilment of data subjects rights,https://www.dpa.gr/sites/default/files/2022-01/1_2022%20anonym.pdf
982,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-11,2022.0,3000.0,Property Owner Community,Individuals and Private Associations,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,https://www.aepd.es/es/documento/ps-00448-2021.pdf
983,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-11,2022.0,9000.0,EDUCANDO JUNTOS SL,Employment,"Art. 6 (1) GDPR, Art. 17 GDPR",Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00119-2021.pdf
984,POLAND,Poland,/flags/flag_poland.png,Polish National Personal Data Protection Office (UODO),2021-12-09,2021.0,10000.0,Warsaw University of Technology,Public Sector and Education,"Art. 5 (1) f) GDPR, Art. 5 (2) GDPR, Art. 24 (1) GDPR, Art. 25 (1) GDPR, Art. 32 (1), (2) GDPR",Insufficient technical and organisational measures to ensure information security,https://uodo.gov.pl/decyzje/DKN.5130.2559.2020
985,GREECE,Greece,/flags/flag_greece.png,Hellenic Data Protection Authority (HDPA),2021-12-31,2021.0,25000.0,PLUS REAL ADVERTISEMENT,Industry and Commerce,"Art. 13 GDPR, Art. 14 GDPR, Art. 11 Law 3471/2006",Insufficient fulfilment of information obligations,https://www.dpa.gr/sites/default/files/2022-01/57_2021anonym.pdf
986,GREECE,Greece,/flags/flag_greece.png,Hellenic Data Protection Authority (HDPA),2021-12-31,2021.0,30000.0,INFO COMMUNICATION SERVICES,Industry and Commerce,"Art. 13 GDPR, Art. 14 GDPR, Art. 11 Law 3471/2006",Insufficient fulfilment of information obligations,https://www.dpa.gr/sites/default/files/2022-01/56_2021anonym.pdf
987,IRELAND,Ireland,/flags/flag_ireland.png,Data Protection Authority of Ireland,2021-12-02,2021.0,60000.0,Irish Teacher Council,Public Sector and Education,"Art. 5 (1) GDPR, Art. 32 (1) GDPR, Art. 33 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.dataprotection.ie/sites/default/files/uploads/2022-01/Redacted%20Final%20Decision%20The%20Teaching%20Council_20-04-01.pdf
988,AUSTRIA,Austria,/flags/flag_austria.png,Austrian Data Protection Authority (dsb),2022-01-14,2022.0,8000000.0,REWE International AG,Industry and Commerce,Unknown,Unknown,https://noe.orf.at/stories/3138575/
989,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-13,2022.0,1500.0,Private individual,Individuals and Private Associations,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,https://www.aepd.es/es/documento/ps-00224-2021.pdf
990,GREECE,Greece,/flags/flag_greece.png,Hellenic Data Protection Authority (HDPA),2021-12-29,2021.0,75000.0,Greek Ministry of Tourism,Public Sector and Education,"Art. 13 GDPR, Art. 32 GDPR, Art. 33 GDPR, Art. 37 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.dpa.gr/el/enimerwtiko/prakseisArxis/peristatiko-parabiasis-dedomenon-prosopikoy-haraktira-apo-ypoyrgeio
991,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2021-12-02,2021.0,7000.0,Società Med Store Saronno s.r.l.,Health Care,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9734934
992,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2021-12-02,2021.0,30000.0,Casa di cura Fondazione Gaetano e Piera Borghi s.r.l.,Health Care,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9734884
993,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2021-11-25,2021.0,6000.0,Società H San Raffaele Resnati s.r.l.,Health Care,"Art. 5 (1) f) GDPR, Art. 9 GDPR",Non-compliance with general data processing principles,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9732967
994,BELGIUM,Belgium,/flags/flag_belgium.png,Belgian Data Protection Authority (APD),2021-12-16,2021.0,75000.0,Bank,"Finance, Insurance and Consulting",Art. 38 (6) GDPR,Insufficient involvement of data protection officer,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-141-2021.pdf
995,PORTUGAL,Portugal,/flags/flag_portugal.png,Portuguese Data Protection Authority (CNPD),2021-12-21,2021.0,1250000.0,Lisbon City Council,Public Sector and Education,"Art. 5 (1) a), c), e) GDPR, Art. 6 GDPR, Art. 9 (1) a) GDPR, Art. 13 (1), (2) GDPR, Art. 35 (3) GDPR",Insufficient legal basis for data processing,https://www.cnpd.pt/comunicacao-publica/noticias/cnpd-aplica-sancao-ao-municipio-de-lisboa/
996,MALTA,Malta,/flags/flag_malta.png,Data Protection Commissioner of Malta,2022-01-17,2022.0,65000.0,C-Planet (IT Solutions) Limited,Industry and Commerce,"Art. 5 (1) f) GDPR, Art. 6 (1) GDPR, Art. 9 (1), (2) GDPR, Art. 14 GDPR, Art. 32 GDPR, Art. 33 GDPR, Art. 34 GDPR",Insufficient technical and organisational measures to ensure information security,https://idpc.org.mt/idpc-publications/idpc-issues-decision-on-cplanet-data-breach/
997,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-18,2022.0,56000.0,"VODAFONE ESPAÑA, S.A.U.","Media, Telecoms and Broadcasting",Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00501-2021.pdf
998,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-14,2022.0,1500.0,Private individual,Individuals and Private Associations,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,https://www.aepd.es/es/documento/ps-00356-2021.pdf
999,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-17,2022.0,2000.0,MEETING PUERTO C.B.,Industry and Commerce,Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00433-2021.pdf
1000,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-17,2022.0,1500.0,Private individual,Individuals and Private Associations,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,https://www.aepd.es/es/documento/ps-00409-2021.pdf
1001,LUXEMBOURG,Luxembourg,/flags/flag_luxembourg.png,National Commission for Data Protection (CNPD),2021-12-01,2021.0,6800.0,Unknown,Employment,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,https://cnpd.public.lu/content/dam/cnpd/fr/decisions-fr/2021/Decision-47FR-2021-sous-forme-anonymisee.pdf
1002,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-18,2022.0,15000.0,"GARLEX SOLUTIONS, S.L.",Transportation and Energy,Art. 6 GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00375-2021.pdf
1003,LUXEMBOURG,Luxembourg,/flags/flag_luxembourg.png,National Commission for Data Protection (CNPD),2021-11-09,2021.0,1500.0,Unknown,Employment,"Art. 5 (1) c) GDPR, Art. 13 GDPR",Non-compliance with general data processing principles,https://cnpd.public.lu/content/dam/cnpd/fr/decisions-fr/2021/Decision-44FR-2021-sous-forme-anonymisee.pdf
1004,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-14,2022.0,2400.0,"PHARMA TALENTS, S.L.U.",Industry and Commerce,"Art. 5 (1) f) GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.aepd.es/es/documento/ps-00490-2021.pdf
1005,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2021-12-16,2021.0,0.0,Enel Energia S.p.A,Transportation and Energy,"Art. 5 (1) a), d) GDPR, Art. 5 (2) GDPR, Art. 6 (1) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 21 GDPR, Art. 24 GDPR, Art. 25 (1) GDPR, Art. 30 GDPR, Art. 31 GDPR, Art. 130 (1), (2), (4) Codice della privacy",Insufficient legal basis for data processing,https://www.garanteprivacy.it/web/guest/home/docweb/-/docweb-display/docweb/9735672
1006,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2022-01-20,2022.0,3000.0,Kaufland România SCS,Industry and Commerce,Art. 15 (3) GDPR,Insufficient fulfilment of data subjects rights,https://www.dataprotection.ro/?page=Comunicat_Presa_20_01_2022&lang=ro
1007,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-21,2022.0,2000.0,Website operator,Industry and Commerce,Art. 13 GDPR,Insufficient fulfilment of information obligations,https://www.aepd.es/es/documento/ps-00431-2021.pdf
1008,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-21,2022.0,1200.0,Property Owner Community,Individuals and Private Associations,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,https://www.aepd.es/es/documento/ps-00518-2021.pdf
1009,IRELAND,Ireland,/flags/flag_ireland.png,Data Protection Authority of Ireland,2021-12-09,2021.0,110000.0,Limerick City and County Council,Public Sector and Education,"Art. 13 GDPR, Art. 12 GPDR, Art. 15 GDPR",Insufficient fulfilment of data subjects rights,"https://www.dataprotection.ie/sites/default/files/uploads/2022-01/Limerick%20Council%20Decision%20Summary%20EN.pdf,"
1010,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2021-12-02,2021.0,5000.0,Azienda USL di Parma,Health Care,"Art. 5 (1) f) GDPR, Art. 9 GDPR",Non-compliance with general data processing principles,https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9739586
1011,FINLAND,Finland,/flags/flag_finland.png,Deputy Data Protection Ombudsman,2021-12-16,2021.0,6500.0,Travel agency,Industry and Commerce,"Art. 5 (1) f) GDPR, Art. 17 GDPR, Art. 25 GDPR, Art. 32 GDPR",Insufficient technical and organisational measures to ensure information security,https://tietosuoja.fi/-/matkatoimistolle-seuraamusmaksu-tietosuojalainsaadannon-rikkomisesta
1012,FINLAND,Finland,/flags/flag_finland.png,Deputy Data Protection Ombudsman,2021-12-16,2021.0,52000.0,Motor insurance center,"Finance, Insurance and Consulting","Art. 5 (1) a), c) GDPR, Art. 25 (2) GDPR",Non-compliance with general data processing principles,https://tietosuoja.fi/-/liikennevakuutuskeskukselle-seuraamusmaksu-tarpeettoman-laajasta-potilastietojen-keraamisesta
1013,SWEDEN,Sweden,/flags/flag_sweden.png,Data Protection Authority of Sweden (Integritetsskyddsmyndigheten),2022-01-26,2022.0,28500.0,Uppsala regional board,Health Care,Art. 32 (1) GDPR,Insufficient technical and organisational measures to ensure information security,https://www.imy.se/globalassets/dokument/beslut/2022/beslut-regionstyrelsen-region-uppsala.pdf
1014,SWEDEN,Sweden,/flags/flag_sweden.png,Data Protection Authority of Sweden (Integritetsskyddsmyndigheten),2022-01-26,2022.0,152000.0,Uppsala hospital board,Health Care,"Art. 5 (1) f) GDPR, Art. 32 (1) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.imy.se/globalassets/dokument/beslut/2022/beslut-sjukhusstyrelsen-region-uppsala.pdf
1015,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2021-12-16,2021.0,10000.0,Centro di Medicina preventiva s.r.l.,Health Care,"Art. 5 GDPR, Art. 25 GDPR, Art. 32 GDPR, Art. 37 GDPR",Insufficient technical and organisational measures to ensure information security,https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9739609
1016,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2021-12-16,2021.0,20000.0,Corradi s.r.l.,Employment,"Art. 5 (1) a), c), e) GDPR, Art. 13 GDPR, Art. 157 Codice della privacy",Non-compliance with general data processing principles,https://www.gpdp.it/web/guest/home/docweb/-/docweb-display/docweb/9739653
1017,HUNGARY,Hungary,/flags/flag_hungary.png,Hungarian National Authority for Data Protection and the Freedom of Information (NAIH),2021-12-03,2021.0,843.0,Lawyer,"Finance, Insurance and Consulting","Art. 5 (1) a), b) GDPR, Art. 6 (1) GDPR, Art. 9 (1) GDPR",Insufficient legal basis for data processing,https://naih.hu//hatarozatok-vegzesek?download=483:bunugyi-szemelyes-adatok-kezelese-maganvadlo-altal
1018,ROMANIA,Romania,/flags/flag_romania.png,Romanian National Supervisory Authority for Personal Data Processing (ANSPDCP),2022-02-01,2022.0,1000.0,SC Grupex 2000 SRL,Health Care,"Art. 6 GDPR, Art. 9 GDPR",Insufficient legal basis for data processing,https://www.dataprotection.ro/?page=Comunicat_Presa_01_02_2022_2&lang=ro
1019,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-31,2022.0,1500.0,Property Owner Community,Real Estate,Art. 6 GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00458-2021.pdf
1020,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-31,2022.0,5000.0,Cyrana España General S.L.,Industry and Commerce,Art. 6 (1) GDPR,Insufficient legal basis for data processing,https://www.aepd.es/es/documento/ps-00535-2021.pdf
1021,SPAIN,Spain,/flags/flag_spain.png,Spanish Data Protection Authority (aepd),2022-01-31,2022.0,5000.0,"INCOPROSOL, S.L.",Industry and Commerce,Art. 5 (1) c) GDPR,Non-compliance with general data processing principles,https://www.aepd.es/es/documento/ps-00469-2021.pdf
1022,BELGIUM,Belgium,/flags/flag_belgium.png,Belgian Data Protection Authority (APD),2022-01-27,2022.0,1200.0,Researcher,Individuals and Private Associations,"Art. 5 (1) a), c), f) GDPR, Art. 6 (1) GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 14 GDPR, Art. 32 GDPR",Non-compliance with general data processing principles,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-13-2022.pdf
1023,BELGIUM,Belgium,/flags/flag_belgium.png,Belgian Data Protection Authority (APD),2022-01-27,2022.0,2800.0,EU DisinfoLab,Individuals and Private Associations,"Art. 5 (1) a), c), f) GDPR, Art. 6 (1) GDPR, Art. 9 GDPR, Art. 12 GDPR, Art. 14 GDPR, Art. 30 GDPR, Art. 32 GDPR, Art. 35 GDPR",Non-compliance with general data processing principles,https://www.autoriteprotectiondonnees.be/publications/decision-quant-au-fond-n-13-2022.pdf
1024,GREECE,Greece,/flags/flag_greece.png,Hellenic Data Protection Authority (HDPA),2022-01-27,2022.0,6000000.0,Cosmote Mobile Telecommunications S.A.,"Media, Telecoms and Broadcasting","Art. 5 (1) a) GDPR, Art. 5 (2) GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 25 (1) GDPR, Art. 26 GDPR, Art. 28 GDPR, Art. 35 (7) GDPR",Insufficient technical and organisational measures to ensure information security,https://www.dpa.gr/sites/default/files/2022-01/4_2022%20anonym%20%282%29_0.pdf
1025,GREECE,Greece,/flags/flag_greece.png,Hellenic Data Protection Authority (HDPA),2022-01-27,2022.0,3200000.0,OTE Group,"Media, Telecoms and Broadcasting",Art. 32 GDPR,Insufficient technical and organisational measures to ensure information security,https://www.dpa.gr/sites/default/files/2022-01/4_2022%20anonym%20%282%29_0.pdf
1026,ITALY,Italy,/flags/flag_italy.png,Italian Data Protection Authority (Garante),2021-11-25,2021.0,400000.0,B&T S.p.A.,Industry and Commerce,"Art. 5 (1) a) GDPR, Art. 6 (1) a) GDPR, Art. 12 GDPR, Art. 13 GDPR, Art. 14 GDPR, Art. 21 GDPR",Insufficient legal basis for data processing,https://www.garanteprivacy.it/home/docweb/-/docweb-display/docweb/9741157
