primary_country,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,>15
Ecuador,0.0,0.0,0.09523809523809523,0.0,0.047619047619047616,0.14285714285714285,0.0,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.47619047619047616
Egypt,0.0,0.0,0.20833333333333334,0.041666666666666664,0.0,0.041666666666666664,0.08333333333333333,0.0,0.16666666666666666,0.08333333333333333,0.0,0.0,0.125,0.08333333333333333,0.0,0.0,0.16666666666666666
Estonia,0.0,0.02564102564102564,0.038461538461538464,0.07692307692307693,0.0641025641025641,0.08974358974358974,0.038461538461538464,0.0641025641025641,0.05128205128205128,0.0641025641025641,0.0,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.05128205128205128,0.01282051282051282,0.34615384615384615
Ethiopia,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.125
Finland,0.031746031746031744,0.12698412698412698,0.14682539682539683,0.12698412698412698,0.0873015873015873,0.05952380952380952,0.03571428571428571,0.031746031746031744,0.027777777777777776,0.031746031746031744,0.027777777777777776,0.015873015873015872,0.01984126984126984,0.023809523809523808,0.027777777777777776,0.011904761904761904,0.16666666666666666
France,0.0811611374407583,0.20971563981042654,0.19490521327014218,0.13744075829383887,0.08590047393364929,0.06279620853080568,0.041469194312796206,0.03376777251184834,0.0254739336492891,0.023696682464454975,0.015995260663507108,0.012440758293838863,0.013033175355450236,0.011848341232227487,0.004146919431279621,0.005924170616113744,0.04028436018957346
France [],0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.21428571428571427,0.07142857142857142,0.07142857142857142,0.0,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0
Georgia,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.26666666666666666
Germany,0.14960866947621915,0.26038531005418425,0.2095123419626731,0.11589403973509933,0.07435279951836243,0.04334738109572547,0.03190848886213125,0.024984948826008428,0.01836243226971704,0.01715833835039133,0.007525586995785672,0.006020469596628537,0.006020469596628537,0.006020469596628537,0.0039133052378085495,0.0033112582781456954,0.021673690547862733
Germany [],0.0,0.19047619047619047,0.23809523809523808,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.047619047619047616,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Greece,0.04395604395604396,0.08791208791208792,0.13186813186813187,0.07692307692307693,0.04395604395604396,0.02197802197802198,0.04395604395604396,0.03296703296703297,0.06593406593406594,0.04395604395604396,0.03296703296703297,0.02197802197802198,0.06593406593406594,0.04395604395604396,0.01098901098901099,0.02197802197802198,0.2087912087912088
Guinea,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0
Hong Kong,0.0,0.11428571428571428,0.17142857142857143,0.14285714285714285,0.14285714285714285,0.08571428571428572,0.05714285714285714,0.02857142857142857,0.0,0.05714285714285714,0.0,0.02857142857142857,0.08571428571428572,0.0,0.02857142857142857,0.0,0.05714285714285714
Hungary,0.008771929824561403,0.12280701754385964,0.12280701754385964,0.09649122807017543,0.043859649122807015,0.05263157894736842,0.06140350877192982,0.02631578947368421,0.043859649122807015,0.06140350877192982,0.03508771929824561,0.017543859649122806,0.02631578947368421,0.017543859649122806,0.03508771929824561,0.03508771929824561,0.19298245614035087
