Growth Rate of Per Capita GDP at constant 2020 prices in US Dollars (all countries),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CountryID,Country,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
64,Bhutan,-0.8,-2.2,-1.9,1.6,-6.5,5.3,4.3,3.5,1.3,1.6,7.9,-1.0,4.7,2.9,2.5,10.7,27.4,2.9,4.5,8.4,-1.0,7.6,6.3,5.9,8.0,6.3,5.3,5.4,6.8,7.4,4.9,8.0,5.5,3.1,5.1,4.2,14.8,3.4,6.5,11.6,7.3,4.0,0.6,4.7,5.6,7.4,1.2,2.8,5.1,-10.8,3.7,4.5,3.9,6.8
68,Bolivia (Plurinational State of),2.7,5.6,3.4,0.6,4.9,2.2,2.6,-0.3,-2.1,-3.2,-1.9,-6.0,-6.1,-2.3,-3.7,-4.6,0.3,0.8,1.6,2.5,3.1,-0.4,2.2,2.7,2.7,2.4,3.1,3.2,-1.3,0.8,0.0,0.8,1.0,2.4,2.7,3.0,2.8,4.4,1.7,2.4,3.5,3.5,5.1,3.8,3.3,2.7,2.7,2.7,0.8,-9.9,5.0,2.4,1.7,-0.6
70,Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,-9.5,-1.5,6.1,16.5,16.3,47.8,31.8,14.6,8.4,4.7,1.9,4.8,4.1,7.3,5.0,6.3,7.2,7.2,-1.3,2.7,2.8,1.1,6.8,5.2,8.5,4.3,5.3,4.5,3.6,-1.1,9.2,7.6,4.8,3.2
72,Botswana,23.7,21.9,15.7,3.6,3.2,5.1,4.9,5.1,7.6,7.9,8.0,4.2,8.0,9.7,5.5,3.8,4.7,8.9,29.6,4.2,4.5,0.1,-1.0,0.8,4.3,3.3,5.6,-1.5,7.3,-0.2,-1.8,3.6,2.4,0.5,2.2,5.9,3.8,1.2,-15.9,7.8,4.8,-1.8,9.4,4.2,-6.2,5.7,2.6,2.7,1.6,-10.0,10.3,3.8,1.5,-4.6
76,Brazil,8.6,9.2,11.2,5.6,2.7,7.7,2.5,2.5,4.3,6.7,-6.5,-1.4,-5.1,3.1,5.6,5.3,1.5,-2.0,1.3,-6.0,-1.0,-2.9,2.8,3.9,2.3,0.7,1.9,-1.1,-1.0,3.0,0.1,1.8,0.0,4.6,2.1,2.9,5.0,4.1,-1.0,6.6,3.1,1.1,2.2,-0.3,-4.3,-4.0,0.6,1.1,0.6,-3.8,4.3,2.6,2.8,3.0
92,British Virgin Islands,-11.4,-1.3,4.2,8.4,3.4,-1.3,1.0,6.8,10.8,12.4,-2.4,-1.5,2.0,1.9,-2.1,0.4,10.9,7.6,5.1,21.7,19.2,21.3,27.7,21.7,20.6,5.2,7.8,7.6,6.8,5.8,1.8,-6.2,-15.3,0.4,10.5,-2.8,-2.6,-3.2,-2.9,0.3,-6.4,-6.1,-0.8,-2.1,-3.9,7.2,3.2,-0.6,6.1,-12.5,2.5,4.8,1.9,1.5
96,Brunei Darussalam,7.8,6.8,5.7,7.7,-3.1,16.1,7.2,3.4,18.8,-9.8,-22.3,0.7,-2.7,-2.7,-4.8,-14.4,-2.8,-3.3,-0.7,-1.8,0.3,1.9,-2.3,0.6,1.9,0.4,-3.8,-2.8,0.8,0.6,0.6,1.8,1.0,-1.3,-1.3,2.8,-1.5,-3.7,-3.6,0.7,1.9,-0.6,-3.5,-3.8,-1.7,-3.7,0.1,-1.1,2.7,0.1,-2.5,-2.4,0.3,3.4
100,Bulgaria,6.3,7.1,7.6,6.8,8.3,6.1,5.7,5.5,6.5,5.3,4.6,2.0,3.2,3.2,2.6,4.2,5.9,10.8,-2.8,-7.9,-7.1,-5.8,-0.4,2.4,3.6,6.0,-13.3,4.8,-7.6,5.5,4.8,6.8,6.0,7.3,7.8,7.6,7.4,6.9,-2.7,2.2,2.9,1.6,0.2,1.5,4.1,3.8,3.5,3.1,4.5,-2.5,8.7,4.9,2.1,4.0
854,Burkina Faso,-2.1,20.3,-6.9,3.5,0.3,-3.1,4.6,8.9,-1.9,-1.0,1.6,-0.6,-3.9,-1.3,9.8,4.9,-2.9,3.0,-0.5,-3.2,6.3,-2.2,0.9,-1.2,3.0,8.2,3.6,4.4,3.2,-1.1,3.4,1.2,4.5,1.2,5.3,3.0,1.0,2.7,0.0,5.3,3.5,3.3,2.7,1.3,0.9,2.9,3.2,3.8,3.2,-0.4,4.4,-0.8,0.6,2.7
108,Burundi,0.8,-6.0,7.1,-3.0,-2.4,8.0,6.3,1.9,-0.9,-5.9,6.5,-2.9,0.4,-2.5,9.3,1.9,1.7,2.6,-0.5,1.4,3.2,-0.9,-4.1,-3.7,-12.4,-8.7,0.4,2.5,-3.3,-2.9,-0.4,1.6,-4.3,0.4,-2.8,1.7,-0.3,0.7,-1.3,0.3,0.4,0.8,1.2,0.8,-2.6,1.4,1.4,2.2,1.1,-2.5,0.3,-0.9,-0.1,0.9
